AÑO,MES,CATEGORIA,TIPO,DISTRITO,PROVINCIA,LUGAR,SITIOTURISTICO,ACTIVIDAD,NVISITANTES,PROVENIENCIA,PRECIO
2017,enero,convencional,Conboleto ,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna69,Turismo,7574,nacional,30
2017,enero,convencional,Conboleto ,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna70,Turismo,3094,extranjero,65
2017,enero,convencional,exonerado,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna71,Turismo,692,nacional,30
2017,enero,convencional,exonerado,Yungay,Yungay,Llanganuco,lagunaChinancochaylaguna72,Turismo,0,extranjero,65
2017,enero,Aventura,Conboleto ,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Alpinismo,18,nacional,30
2017,enero,Aventura,Conboleto ,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Alpinismo,399,extranjero,65
2017,enero,Aventura,exonerado,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Alpinismo,0,nacional,30
2017,enero,Aventura,exonerado,Yungay,Yungay,Llanganuco,nevadosYanapacchaChacrarajuHuandoyyChopicalqui,Alpinismo,101,extranjero,65
2017,enero,convencional,Conboleto ,Catac,Recuay,carpa,Pastoruri,Turismo,3728,nacional,30
2017,enero,convencional,Conboleto ,Catac,Recuay,carpa,Pastoruri,Turismo,430,extranjero,65
2017,enero,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,320,nacional,30
2017,enero,convencional,exonerado,Catac,Recuay,carpa,Pastoruri,Turismo,0,extranjero,65
2017,enero,Aventura,Conboleto ,Huaraz,Huaraz,Ishinca,PNH,escaladaalosnevadosdeIshinca,0,nacional,30
2017,enero,Aventura,Conboleto ,Huaraz,Huaraz,Ishinca,PNH,escaladaalosnevadosdeIshinca,0,extranjero,65
2017,enero,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,escaladaalosnevadosdeIshinca,0,nacional,30
2017,enero,Aventura,exonerado,Huaraz,Huaraz,Ishinca,PNH,escaladaalosnevadosdeIshinca,0,extranjero,65
2017,enero,convencional,Conboleto ,Acopalca,Huari,Purhuay,lagunaPurhuay,Turismo,0,nacional,30
2017,enero,convencional,Conboleto ,Acopalca,Huari,Purhuay,lagunaPurhuay,Turismo,0,extranjero,65
